MMSI#;IMO#;Kallesignal;Skipsnavn;Passeringer;Tidspunkt (UTC);Skipstype;BT;DWT;L;B;H;D;Land
259279000;0;;;1;08.09.2021 14:00;;;;0;0;0;0;
257012290;0;;;1;27.03.2021 12:00;;;;0;0;0;0;
257012860;0;;;1;27.03.2021 14:46;;;;0;0;0;0;
257062640;0;;;1;27.03.2021 20:30;;;;0;0;0;0;
257186500;0;;;1;27.03.2021 04:00;;;;0;0;0;0;
258003240;0;;;1;27.03.2021 14:00;;;;0;0;0;0;
258003240;0;;;1;27.03.2021 17:30;;;;0;0;0;0;
258090950;0;;;1;27.03.2021 18:15;;;;0;0;0;0;
258137750;0;;;1;27.03.2021 11:00;;;;0;0;0;0;
258267020;0;;;1;27.03.2021 13:18;;;;0;0;0;0;
258267020;0;;;1;27.03.2021 14:59;;;;0;0;0;0;
231108717;0;;GRONANES;1;08.02.2021 00:31;;;;15;0;0;0;
257003550;0;;Jens Bye;1;28.03.2021 07:36;;;;12,6;0;0;0,6;
257003550;0;;Jens Bye;1;28.03.2021 13:45;;;;12,6;0;0;0,6;
257482600;0;;STORTAREN;1;28.03.2021 10:00;;;;16;0;0;0;
257506600;0;;SJOEALG;1;28.03.2021 09:45;;;;18;0;0;0;
257968700;0;;;1;28.03.2021 08:46;;;;0;0;0;0;
258003240;0;;;1;28.03.2021 15:33;;;;0;0;0;0;
258003240;0;;;1;28.03.2021 17:33;;;;0;0;0;0;
258583000;0;;Pauline;1;28.03.2021 15:00;;;;19,7;0;0;2,04;
257103540;0;;;1;30.03.2021 15:30;;;;0;0;0;0;
257482600;0;;STORTAREN;1;30.03.2021 14:46;;;;16;0;0;0;
257506600;0;;SJOEALG;1;30.03.2021 14:45;;;;18;0;0;0;
258003240;0;;;1;30.03.2021 14:43;;;;0;0;0;0;
258003240;0;;;1;30.03.2021 17:31;;;;0;0;0;0;
257106510;0;;;1;31.03.2021 16:00;;;;0;0;0;0;
257106510;0;;;1;31.03.2021 16:15;;;;0;0;0;0;
257122640;0;;;1;31.03.2021 11:00;;;;0;0;0;0;
257536970;0;;;1;31.03.2021 17:30;;;;0;0;0;0;
257122640;0;;;1;01.04.2021 04:30;;;;0;0;0;0;
258137750;0;;;1;01.04.2021 10:17;;;;0;0;0;0;
258090950;0;;;1;03.04.2021 12:15;;;;0;0;0;0;
257004240;0;;BOREAS;1;08.04.2021 11:45;;;;11;0;0;1,5;
257050340;0;;;1;08.04.2021 15:00;;;;0;0;0;0;
257346900;0;;NEPTUN;1;08.04.2021 21:15;;;;15;0;0;0;
258267020;0;;;1;08.04.2021 16:49;;;;0;0;0;0;
258267020;0;;;1;08.04.2021 17:59;;;;0;0;0;0;
257346900;0;;NEPTUN;1;09.04.2021 13:45;;;;15;0;0;0;
258267020;0;;;1;09.04.2021 16:26;;;;0;0;0;0;
258267020;0;;;1;09.04.2021 16:41;;;;0;0;0;0;
257577870;0;;;1;10.04.2021 12:15;;;;0;0;0;0;
257317520;0;;Stjørnafjord;1;09.02.2021 10:45;;;;9,83;0;0;0;
257329500;0;;THEA;1;11.01.2022 16:30;;;;11;0;0;0;
257317520;0;;Stjørnafjord;1;09.02.2021 17:46;;;;9,83;0;0;0;
257571490;0;;;1;11.04.2021 19:46;;;;0;0;0;0;
257872860;0;;;1;11.04.2021 11:17;;;;0;0;0;0;
257872860;0;;;1;11.04.2021 12:30;;;;0;0;0;0;
258003240;0;;;1;11.04.2021 12:57;;;;0;0;0;0;
258003240;0;;;1;11.04.2021 15:15;;;;0;0;0;0;
258137750;0;;;1;11.04.2021 11:45;;;;0;0;0;0;
258146170;0;;;1;11.04.2021 08:46;;;;0;0;0;0;
257004500;0;;AUKNES;1;11.01.2022 17:30;;;;11;0;0;0;
258340560;0;;;1;11.04.2021 11:34;;;;0;0;0;0;
258340560;0;;;1;11.04.2021 11:50;;;;0;0;0;0;
257059170;0;;;1;02.01.2021 11:00;;;;0;0;0;0;
257198440;0;;TORSHAV;1;03.01.2021 10:15;;;;10;0;0;0;
257467020;0;;Emil;1;03.01.2021 10:30;;;;9,5;0;0;0;
257125700;0;;;1;04.01.2021 06:46;;;;0;0;0;0;
257022710;0;;;1;11.01.2021 11:46;;;;0;0;0;0;
257125250;0;;;1;13.01.2021 09:30;;;;0;0;0;0;
257422820;0;;;1;13.01.2021 04:16;;;;0;0;0;0;
257124420;0;;;1;17.01.2021 15:46;;;;0;0;0;0;
257174540;0;;HUGNAD;1;18.01.2021 07:46;;;;10;0;0;0;
257174540;0;;HUGNAD;1;19.01.2021 14:45;;;;10;0;0;0;
258124720;0;;;1;19.01.2021 09:46;;;;0;0;0;0;
257094570;0;;;1;20.01.2021 08:31;;;;0;0;0;0;
257125250;0;;;1;12.02.2021 12:46;;;;0;0;0;0;
257124420;0;;;1;22.01.2021 15:15;;;;0;0;0;0;
257346900;0;;NEPTUN;1;23.01.2021 00:16;;;;15;0;0;0;
257346900;0;;NEPTUN;1;23.01.2021 15:17;;;;15;0;0;0;
257346900;0;;NEPTUN;1;25.01.2021 09:00;;;;15;0;0;0;
257346900;0;;NEPTUN;1;25.01.2021 22:30;;;;15;0;0;0;
257346900;0;;NEPTUN;1;26.01.2021 14:45;;;;15;0;0;0;
257346900;0;;NEPTUN;1;27.01.2021 14:46;;;;15;0;0;0;
257346900;0;;NEPTUN;1;02.02.2021 16:15;;;;15;0;0;0;
257004500;0;;AUKNES;1;29.01.2021 11:45;;;;11;0;0;0;
257022710;0;;;1;29.01.2021 09:31;;;;0;0;0;0;
257346900;0;;NEPTUN;1;29.01.2021 13:15;;;;15;0;0;0;
257346900;0;;NEPTUN;1;30.01.2021 03:30;;;;15;0;0;0;
257004500;0;;AUKNES;1;31.01.2021 16:00;;;;11;0;0;0;
257606500;0;;Ørnfløy;1;31.01.2021 11:46;;;;19,78;0;0;3,35;
257186500;0;;;1;14.02.2021 03:00;;;;0;0;0;0;
257570660;0;;;1;15.04.2021 15:32;;;;0;0;0;0;
258152180;0;;;1;15.04.2021 17:46;;;;0;0;0;0;
257060990;0;;;1;16.04.2021 13:46;;;;0;0;0;0;
257061990;0;;;1;16.04.2021 13:15;;;;0;0;0;0;
257103540;0;;;1;16.04.2021 12:16;;;;0;0;0;0;
257118050;0;;;1;16.04.2021 09:30;;;;0;0;0;0;
257536970;0;;;1;16.04.2021 14:45;;;;0;0;0;0;
257904280;0;;;1;16.04.2021 17:31;;;;0;0;0;0;
258088500;0;;YANKEE V;1;16.04.2021 15:30;;;;26;0;0;0;
258139960;0;;;1;16.04.2021 17:31;;;;0;0;0;0;
258340560;0;;;1;16.04.2021 17:49;;;;0;0;0;0;
258340560;0;;;1;16.04.2021 18:13;;;;0;0;0;0;
257029340;0;;;1;17.04.2021 13:46;;;;0;0;0;0;
257042260;0;;;1;17.04.2021 11:57;;;;0;0;0;0;
257042260;0;;;1;17.04.2021 16:14;;;;0;0;0;0;
257050340;0;;;1;17.04.2021 09:46;;;;0;0;0;0;
258003260;0;;;1;15.01.2022 12:48;;;;0;0;0;0;
257514670;0;;;1;17.04.2021 16:30;;;;0;0;0;0;
257663600;0;;;1;17.04.2021 15:15;;;;0;0;0;0;
257749780;0;;;1;17.04.2021 13:15;;;;0;0;0;0;
258003240;0;;;1;17.04.2021 10:44;;;;0;0;0;0;
258003240;0;;;1;17.04.2021 19:15;;;;0;0;0;0;
258139960;0;;;1;17.04.2021 10:46;;;;0;0;0;0;
258146170;0;;;1;17.04.2021 10:31;;;;0;0;0;0;
258329260;0;;;1;17.04.2021 15:00;;;;0;0;0;0;
257062640;0;;;1;15.02.2021 12:35;;;;0;0;0;0;
257029340;0;;;1;18.04.2021 12:46;;;;0;0;0;0;
257042260;0;;;1;18.04.2021 13:57;;;;0;0;0;0;
257042260;0;;;1;18.04.2021 16:15;;;;0;0;0;0;
257053440;0;;Varna;1;18.04.2021 10:46;;;;14,07;0;0;2,4;
257061990;0;;;1;18.04.2021 15:35;;;;0;0;0;0;
257065080;-99;;MORGAN;1;18.04.2021 11:15;;;;10;0;0;0;
257103540;0;;;1;18.04.2021 11:49;;;;0;0;0;0;
257118050;0;;;1;18.04.2021 14:15;;;;0;0;0;0;
257514670;0;;;1;18.04.2021 19:15;;;;0;0;0;0;
257536970;0;;;1;18.04.2021 11:30;;;;0;0;0;0;
257749780;0;;;1;18.04.2021 15:19;;;;0;0;0;0;
258003240;0;;;1;18.04.2021 14:27;;;;0;0;0;0;
258003240;0;;;1;18.04.2021 17:54;;;;0;0;0;0;
258133980;0;;;1;18.04.2021 18:55;;;;0;0;0;0;
258152180;0;;;1;18.04.2021 16:47;;;;0;0;0;0;
257051650;0;;;1;19.04.2021 14:15;;;;0;0;0;0;
257346900;0;;NEPTUN;1;19.04.2021 00:31;;;;15;0;0;0;
257346900;0;;NEPTUN;1;19.04.2021 14:30;;;;15;0;0;0;
257535180;0;;;1;19.04.2021 20:00;;;;0;0;0;0;
257051650;0;;;1;20.04.2021 14:45;;;;0;0;0;0;
257824580;0;;;1;20.04.2021 10:45;;;;0;0;0;0;
257904280;0;;;1;20.04.2021 13:46;;;;0;0;0;0;
258133980;0;;;1;20.04.2021 14:54;;;;0;0;0;0;
257968700;0;;;1;17.01.2022 21:31;;;;0;0;0;0;
258329260;0;;;1;20.04.2021 09:00;;;;0;0;0;0;
257347700;0;;LISE;1;21.04.2021 20:30;;;;15;0;0;0;
257347700;0;;LISE;1;21.04.2021 22:00;;;;15;0;0;0;
257045380;0;;EIR;1;23.04.2021 16:33;;;;23;0;0;0;
257938490;0;;;1;23.04.2021 16:31;;;;0;0;0;0;
257034770;0;;;1;24.04.2021 13:30;;;;0;0;0;0;
258141950;0;;;1;24.04.2021 12:00;;;;0;0;0;0;
259030000;0;;;1;24.04.2021 17:45;;;;0;0;0;0;
257346900;0;;NEPTUN;1;28.04.2021 01:01;;;;15;0;0;0;
257346900;0;;NEPTUN;1;28.04.2021 14:00;;;;15;0;0;0;
257490000;0;;;1;28.04.2021 05:15;;;;0;0;0;0;
257502700;0;;;1;28.04.2021 21:00;;;;0;0;0;0;
